Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
4,99,KAN,Nico Johnson\JohnNi00,LB,23,2015,0,0,0,3,1,18,0,0,0,0,0,0,0,0,0,0,0,13,,,Alabama,College Stats
4,100,TAM,Akeem Spence\SpenAk00,DT,21,2018,0,0,3,24,12,88,0,0,0,0,0,0,0,0,0,0,0,107,,10.5,Illinois,College Stats
4,101,JAX,Ace Sanders\SandAc00,WR,21,2014,0,0,0,3,3,27,1,1,21,1,0,2,4,0,57,539,1,2,,,South Carolina,College Stats
4,102,NWE,Josh Boyce\BoycJo00,WR,22,2014,0,0,0,1,1,10,0,0,0,0,0,0,0,0,9,121,0,1,,,TCU,College Stats
4,103,ARI,Alex Okafor\OkafAl00,DE,22,2018,0,0,4,26,15,68,0,0,0,0,0,0,0,0,0,0,0,116,1,22.0,Texas,College Stats
4,104,MIA,Jelani Jenkins\JenkJe00,LB,21,2017,0,0,2,16,15,60,0,0,0,0,0,0,0,0,0,0,0,171,,3.5,Florida,College Stats
4,105,BUF,Duke Williams\WillDu00,DB,22,2016,0,0,0,8,8,58,0,0,0,0,0,0,0,0,0,0,0,68,1,1.0,Nevada,College Stats
4,106,MIA,Dion Sims\SimsDi00,TE,22,2018,0,0,2,7,6,78,0,0,0,0,0,0,0,0,91,888,9,,,,Michigan St.,College Stats
4,107,TEN,Brian Schwenke\SchwBr00,C,22,2018,0,0,2,14,14,60,0,0,0,0,0,0,0,0,1,6,0,5,,,California,College Stats
4,108,CAR,Edmund Kugbila\KugbEd00,OL,22,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Valdosta St.,
4,109,GNB,David Bakhtiari\BakhDa00,T,21,2018,1,1,6,61,61,90,0,0,0,0,0,0,0,0,0,0,0,1,,,Colorado,
4,110,NYG,Ryan Nassib\NassRy00,QB,23,2015,0,0,0,0,0,5,9,10,128,1,0,2,-3,0,0,0,0,,,,Syracuse,College Stats
4,111,PIT,Shamarko Thomas\ThomSh00,DB,22,2018,0,0,0,5,4,66,0,0,0,0,0,0,0,0,0,0,0,35,,,Syracuse,College Stats
4,112,OAK,Tyler Wilson\WilsTy00,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,College Stats
4,113,STL,Barrett Jones\JoneBa00,G,23,2014,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
4,114,DAL,B.W. Webb\WebbBW00,DB,23,2018,0,0,1,9,1,65,0,0,0,0,0,0,0,0,0,0,0,111,3,1.0,William & Mary,
4,115,PIT,Landry Jones\JoneLa02,QB,24,2017,0,0,0,4,4,19,108,169,1310,8,7,19,-19,0,0,0,0,,,,Oklahoma,College Stats
4,116,ARI,Earl Watford\WatfEa00,G,23,2018,0,0,2,11,11,55,0,0,0,0,0,0,0,0,0,0,0,,,,James Madison,
4,117,CHI,Khaseem Greene\GreeKh00,LB,24,2014,0,0,0,3,3,25,0,0,0,0,0,0,0,0,0,0,0,33,1,,Rutgers,College Stats
4,118,CIN,Sean Porter\PortSe00,LB,22,2016,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
4,119,WAS,Phillip Thomas\ThomPh00,DB,24,2014,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,19,,,Fresno St.,College Stats
4,120,MIN,Gerald Hodges\HodgGe00,LB,22,2018,0,0,1,18,7,81,0,0,0,0,0,0,0,0,0,0,0,203,3,3.5,Penn St.,College Stats
4,121,IND,Khaled Holmes\HolmKh00,C,23,2015,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,,,,USC,
4,122,GNB,J.C. Tretter\TretJC00,T,22,2018,0,0,2,19,6,63,0,0,0,0,0,0,0,0,0,0,0,,,,Cornell,
4,123,SEA,Chris Harper\HarpCh00,WR,23,2014,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,1,,,Kansas St.,College Stats
4,124,HOU,Trevardo Williams\WillTr02,DE,22,2014,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,5,,1.0,Connecticut,College Stats
4,125,GNB,Johnathan Franklin\FranJo01,RB,23,2013,0,0,0,1,1,11,0,0,0,0,0,19,107,1,4,30,0,3,,,UCLA,College Stats
4,126,TAM,William Gholston\GholWi00,DE,22,2018,0,0,4,22,22,87,0,0,0,0,0,0,0,0,0,0,0,154,,11.0,Michigan St.,College Stats
4,127,ATL,Malliciah Goodman\GoodMa01,DE,23,2016,0,0,1,5,5,37,0,0,0,0,0,0,0,0,0,0,0,12,,,Clemson,College Stats
4,128,SFO,Quinton Patton\PattQu00,WR,23,2016,0,0,1,7,7,40,0,0,0,0,0,3,51,0,73,880,1,,,,Louisiana Tech,College Stats
4,129,BAL,John Simon\SimoJo01,DE,22,2018,0,0,1,15,1,65,0,0,0,0,0,0,0,0,0,0,0,114,1,15.0,Ohio St.,College Stats
4,130,BAL,Kyle Juszczyk\JuszKy00,RB,22,2018,0,3,4,11,5,94,0,0,0,0,0,22,86,1,160,1408,7,7,,,Harvard,
4,131,SFO,Marcus Lattimore\LattMa00,RB,21,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina,College Stats
4,132,DET,Devin Taylor\TaylDe00,DE,23,2017,0,0,1,12,12,63,0,0,0,0,0,0,0,0,0,0,0,70,,15.0,South Carolina,College Stats
4,133,ATL,Levine Toilolo\ToilLe00,TE,22,2018,0,0,5,8,6,95,0,0,0,0,0,0,0,0,95,986,8,3,,,Stanford,College Stats
5,134,KAN,Sanders Commings\CommSa00,DB,23,2014,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,Georgia,College Stats
5,135,JAX,Denard Robinson\RobiDe00,WR,22,2016,0,0,1,8,8,55,0,2,0,0,0,263,1058,5,47,310,0,4,,,Michigan,College Stats
5,136,PHI,Earl Wolff\WolfEa00,DB,23,2014,0,0,0,4,4,18,0,0,0,0,0,0,0,0,0,0,0,43,1,,North Carolina St.,College Stats
5,137,SEA,Jesse Williams\WillJe02,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
5,138,SEA,Tharold Simon\SimoTh00,DB,22,2016,0,0,0,3,2,20,0,0,0,0,0,0,0,0,0,0,0,20,1,,LSU,College Stats
5,139,IND,Montori Hughes\HughMo00,DT,23,2016,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,17,,,Tenn-Martin,
5,140,ARI,Stepfan Taylor\TaylSt00,RB,22,2016,0,0,0,3,3,61,0,0,0,0,0,120,393,1,20,154,3,5,,,Stanford,College Stats
5,141,NYJ,Oday Aboushi\AbouOd00,T,22,2018,0,0,2,12,4,42,0,0,0,0,0,0,0,0,0,0,0,1,,,Virginia,College Stats
5,142,TEN,Lavar Edwards\EdwaLa00,DE,23,2017,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,14,,2.0,LSU,College Stats
5,143,BUF,Jonathan Meeks\MeekJo01,DB,23,2016,0,0,0,2,2,38,0,0,0,0,0,0,0,0,0,0,0,3,,,Clemson,
5,144,NOR,Kenny Stills\StilKe00,WR,21,2018,0,0,5,30,13,94,1,1,3,1,0,4,8,0,259,4138,32,2,,,Oklahoma,College Stats
5,145,SDG,Steve Williams\WillSt02,DB,22,2016,0,0,0,4,4,33,0,0,0,0,0,0,0,0,0,0,0,44,2,1.0,California,College Stats
5,146,DEN,Quanterus Smith\SmitQu00,DE,23,2014,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,7,,,Western Kentucky,
5,147,TAM,Steven Means\MeanSt00,DE,22,2018,0,0,0,5,1,34,0,0,0,0,0,0,0,0,0,0,0,15,,3.0,Buffalo,College Stats
5,148,CAR,A.J. Klein\KleiAJ00,LB,22,2018,0,0,3,23,11,88,0,0,0,0,0,0,0,0,0,0,0,172,2,8.0,Iowa St.,College Stats
5,149,STL,Brandon McGee\McGeBr00,DB,22,2015,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,14,,,Miami (FL),College Stats
5,150,PIT,Terry Hawthorne\HawtTe00,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Illinois,College Stats
5,151,DAL,Joseph Randle\RandJo01,RB,21,2015,0,0,0,7,7,35,0,0,0,0,0,181,822,9,22,170,0,12,,,Oklahoma St.,College Stats
5,152,NYG,Cooper Taylor\TaylCo01,DB,23,2015,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,7,,,Richmond,
5,153,ATL,Stansly Maponga\MapoSt00,DE,22,2015,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,4,,1.0,TCU,College Stats
5,154,WAS,Chris Thompson\ThomCh03,RB,22,2018,0,0,0,16,16,55,0,0,0,0,0,213,1056,5,170,1394,10,,,,Florida St.,College Stats
5,155,MIN,Jeff Locke\LockJe00,P,23,2017,0,0,4,6,6,69,0,0,0,0,0,1,-6,0,0,0,0,,,,UCLA,College Stats
5,156,CIN,Tanner Hawkinson\HawkTa00,T,23,2015,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas,
5,157,SFO,Quinton Dial\DialQu00,DE,23,2017,0,0,2,16,13,59,0,0,0,0,0,0,0,0,0,0,0,90,,4.5,Alabama,College Stats
5,158,SEA,Luke Willson\WillLu00,TE,23,2018,0,0,2,11,10,86,0,0,0,0,0,0,0,0,102,1216,11,4,,,Rice,College Stats
5,159,GNB,Micah Hyde\HydeMi00,DB,22,2018,0,1,2,29,14,94,0,0,0,0,0,0,0,0,0,0,0,295,15,4.0,Iowa,College Stats
5,160,STL,Zac Stacy\StacZa00,RB,22,2015,0,0,1,11,10,35,0,0,0,0,0,357,1355,9,53,358,1,,,,Vanderbilt,College Stats
5,161,DEN,Tavarres King\KingTa00,WR,23,2017,0,0,0,2,,17,0,0,0,0,0,2,3,0,22,303,3,,,,Georgia,College Stats
5,162,WAS,Brandon Jenkins\JenkBr00,DE,23,2013,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida St.,College Stats
5,163,CHI,Jordan Mills\MillJo02,T,22,2018,0,0,5,37,13,87,0,0,0,0,0,0,0,0,0,0,0,1,,,Louisiana Tech,
5,164,MIA,Mike Gillislee\GillMi00,RB,22,2018,0,0,0,10,0,36,0,0,0,0,0,274,1291,16,17,103,1,5,,,Florida,College Stats
5,165,DET,Sam Martin\MartSa01,P,23,2018,0,0,6,13,13,90,2,2,27,0,0,2,3,0,0,0,0,2,,,Appalachian St.,
5,166,MIA,Caleb Sturgis\SturCa00,K,24,2018,0,0,4,8,4,68,0,0,0,0,0,0,0,0,0,0,0,6,,,Florida,College Stats
5,167,GNB,Josh Boyd\BoydJo00,DE,24,2015,0,0,0,4,4,26,0,0,0,0,0,0,0,0,0,0,0,16,,,Mississippi St.,College Stats
5,168,BAL,Ricky Wagner\WagnRi00,T,23,2018,0,0,5,34,20,90,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,
